horizon_bucket,n,wmape,rmse,bias,model_name
15-30,158,0.21729933893145456,797.0272421045682,-0.021303266667651144,gbm_long
31-90,513,0.2838013236825521,1022.9430337175673,-0.04171841081495842,gbm_long
91-380,779,0.2894424936403431,1018.0060581686165,-0.00020244600672825186,gbm_long
