cutoff_date,horizon_bucket,mae,rmse,wmape,n,model_name
2025-07-09,8-14,926.6873579706722,1002.2492088876822,0.24298914573721664,7,ensemble
2025-07-23,8-14,323.9369137054954,370.209433637263,0.09195695981446332,7,ensemble
2025-08-06,8-14,383.1700081372842,445.7356781382011,0.12101921718301435,7,ensemble
2025-08-20,8-14,628.8286957242555,693.4423685196035,0.22934706438992783,7,ensemble
2025-09-03,8-14,388.73225246142636,444.84809783002885,0.15731123912457737,7,ensemble
2025-09-17,8-14,268.2656652117774,350.8435371171088,0.10432913003017001,7,ensemble
2025-10-01,8-14,381.29437121987485,505.86186208649775,0.15384352805745538,7,ensemble
2025-10-15,8-14,482.3060180847538,514.8661281078909,0.21938400439485617,7,ensemble
2025-10-29,8-14,351.0566429740883,528.8928235331931,0.1483437022846567,7,ensemble
2025-11-12,8-14,380.2283382796527,494.86675592271894,0.1519898929147614,7,ensemble
2025-11-26,8-14,153.71582564207978,176.0993671722356,0.07635197193273986,7,ensemble
2025-03-19,91-380,720.5688232449276,998.4275975005604,0.25597864430286077,187,ensemble
2025-04-02,91-380,708.6713638141597,951.6516181637882,0.25338209080949037,173,ensemble
2025-04-16,91-380,605.0867175716959,864.5033373424135,0.22277719830768622,159,ensemble
2025-04-30,91-380,606.752174137931,749.2364831905104,0.2329727193938238,145,ensemble
2025-05-14,91-380,428.67689984543017,667.2720441001968,0.17163205214179858,131,ensemble
2025-05-28,91-380,1266.604816330242,1523.1510419222204,0.5184181719362143,117,ensemble
2025-06-11,91-380,449.7845464750765,624.0456321706887,0.18481355980135603,103,ensemble
2025-06-25,91-380,806.8355056179776,979.3243461643655,0.3325491705623956,89,ensemble
2025-07-09,91-380,509.4323363749675,738.1339649263274,0.21250732564574829,75,ensemble
2025-07-23,91-380,1482.6743435904325,1590.76270041984,0.623144531304048,61,ensemble
2025-08-06,91-380,598.8373853344342,837.9699693344597,0.24679793376953837,47,ensemble
2025-08-20,91-380,963.7629901960785,1124.371708438423,0.38157035012602875,33,ensemble
2025-09-03,91-380,436.24908874496316,538.0828652088926,0.1887024376923636,20,ensemble
2025-09-17,91-380,683.2176333333333,781.170719581582,0.24426568451260147,6,ensemble
