cutoff_date,horizon_bucket,mae,rmse,wmape,n,model_name
2025-03-19,1-7,546.0900360435745,716.3649345169306,0.2368046096995222,7,ensemble
2025-04-02,1-7,305.85003980046156,400.4562959405896,0.13704195518177403,7,ensemble
2025-04-16,1-7,877.5227996648003,939.7418712801298,0.2679347120368921,6,ensemble
2025-04-30,1-7,488.2203669265874,612.991187392268,0.22240532962344248,7,ensemble
2025-05-14,1-7,325.482570332444,413.33306177167793,0.12872155685024098,7,ensemble
2025-05-28,1-7,435.6224528129697,553.9131169972172,0.14454772714494976,7,ensemble
2025-06-11,1-7,385.90841675850254,452.2862419777739,0.14459610628941705,7,ensemble
2025-06-25,1-7,188.52163380834963,231.9735133783865,0.06321241420520757,7,ensemble
2025-07-09,1-7,991.6856803040173,1156.0035671672906,0.2461765558164567,7,ensemble
2025-07-23,1-7,539.2479665632476,709.8267841106109,0.1377851491137781,7,ensemble
2025-08-06,1-7,417.12076138327876,606.0545845549589,0.11696509687518207,7,ensemble
2025-08-20,1-7,452.05563358997716,474.84103850248056,0.16960069606674713,7,ensemble
2025-09-03,1-7,514.5513373001312,636.0160781159892,0.23171621189679018,7,ensemble
2025-09-17,1-7,310.0369053090929,390.839036774341,0.12410042687544602,7,ensemble
2025-10-01,1-7,333.81437818502366,470.6343442916136,0.1256547384570593,7,ensemble
2025-10-15,1-7,398.3946671334419,470.15159077498924,0.16202037075170678,7,ensemble
2025-10-29,1-7,369.5311652173991,443.42674636714344,0.1620800486056147,7,ensemble
2025-11-12,1-7,323.9712071115292,374.0177572719679,0.1687066348799015,7,ensemble
2025-11-26,1-7,1022.244926517366,1752.911394806629,0.3069598715153336,6,ensemble
2025-03-19,15-30,531.6044316520606,644.720238104104,0.20236251572160088,16,ensemble
2025-04-02,15-30,722.9252275514763,931.1161533787741,0.25085601557508863,15,ensemble
2025-04-16,15-30,544.0952604274161,693.2401943894351,0.2339453212769033,16,ensemble
2025-04-30,15-30,592.7913762906026,873.999395270459,0.19430853444658178,16,ensemble
2025-05-14,15-30,582.3849575732668,714.243982714388,0.19896291066727168,16,ensemble
2025-05-28,15-30,613.8235352565316,749.0721290531519,0.21199009084704298,16,ensemble
2025-06-11,15-30,612.2780189894282,804.0287430051488,0.18507432018301892,16,ensemble
2025-06-25,15-30,916.1604476449252,1062.5052105579684,0.23330240096282143,16,ensemble
2025-07-09,15-30,589.7013422401528,728.5838247908767,0.15896069064048357,16,ensemble
2025-07-23,15-30,585.1722459597831,689.489582667713,0.17607601716229318,16,ensemble
2025-08-06,15-30,898.1162242090311,1053.3875486622276,0.34082692457842706,16,ensemble
2025-08-20,15-30,868.3898088131041,1003.0563275477075,0.35605131984568295,16,ensemble
2025-09-03,15-30,397.3011908032921,531.535034376453,0.15558512030478305,16,ensemble
2025-09-17,15-30,363.27882823475625,477.5824774331599,0.1377049834197617,16,ensemble
2025-10-01,15-30,410.4892251589994,519.0376079629646,0.17674902439792584,16,ensemble
2025-10-15,15-30,407.1023578059256,545.7504349719454,0.17866170510168183,16,ensemble
2025-10-29,15-30,567.51428123675,1102.6102235014555,0.22604469102562755,15,ensemble
2025-11-12,15-30,645.2044085370692,1166.5678398465755,0.2542118456461866,15,ensemble
2025-11-26,15-30,450.34022024318347,531.4542605166879,0.17855533769268006,12,ensemble
2025-03-19,31-90,649.0879261545592,819.8950454860029,0.23430023089814256,59,ensemble
2025-04-02,31-90,660.4578735505446,816.7253054875814,0.23222160718169405,60,ensemble
2025-04-16,31-90,686.455047684675,899.7792860954149,0.21741303073489626,60,ensemble
2025-04-30,31-90,675.7788538098323,874.7773694371243,0.20230348812098364,60,ensemble
2025-05-14,31-90,1068.9413388005587,1262.3574818883076,0.3050683186860962,60,ensemble
2025-05-28,31-90,780.5523281085223,945.2776482311472,0.22256676501391548,60,ensemble
2025-06-11,31-90,865.7411162041464,1042.3148632884672,0.2618965608247267,60,ensemble
2025-06-25,31-90,635.5047273577111,743.8302605705279,0.21438657385232301,60,ensemble
2025-07-09,31-90,705.4137440449196,793.8122325017505,0.2603355943782728,60,ensemble
2025-07-23,31-90,1214.9510265947222,1306.3097992739902,0.48162030204348916,60,ensemble
2025-08-06,31-90,794.3913117534111,891.9600525261387,0.3256997554779108,60,ensemble
2025-08-20,31-90,874.2767005928366,1046.3196114402756,0.36857920821141843,60,ensemble
2025-09-03,31-90,520.517415671118,752.0290884721313,0.21214965615971204,59,ensemble
2025-09-17,31-90,595.2319897527225,791.8982826612191,0.2556428416303331,59,ensemble
2025-10-01,31-90,419.9786578911951,729.8757637349263,0.17376839691928309,51,ensemble
2025-10-15,31-90,598.7234543334001,847.8294336079339,0.24247571260986314,37,ensemble
2025-10-29,31-90,325.5965932541463,401.11846027655287,0.13558472022258153,24,ensemble
2025-11-12,31-90,416.3710355862122,656.0122445003941,0.1585038372802337,10,ensemble
2025-03-19,8-14,308.31628445991635,390.8319380336998,0.1356709414000767,7,ensemble
2025-04-02,8-14,453.23738984777935,586.9803747360932,0.17123606049948487,7,ensemble
2025-04-16,8-14,408.5846449514037,458.16533482686634,0.14621327607648985,7,ensemble
2025-04-30,8-14,285.8989905800166,384.7716927405435,0.12296904558774815,7,ensemble
2025-05-14,8-14,1192.930637408532,1401.2572555174659,0.33519994596426966,7,ensemble
2025-05-28,8-14,362.09139396782524,451.63507141240024,0.1232832619197945,7,ensemble
2025-06-11,8-14,524.4849275383467,611.3257669513855,0.16703683618492768,7,ensemble
2025-06-25,8-14,738.1875795938249,872.288518156126,0.21136400497870841,7,ensemble
